CountyCode,COUNTY NAME,ID
36001,Albany County,0
36003,Allegany County,1
36005,Bronx County,2
36007,Broome County,3
36009,Cattaraugus County,4
36011,Cayuga County,5
36013,Chautauqua County,6
36015,Chemung County,7
36017,Chenango County,8
36019,Clinton County,9
36021,Columbia County,10
36023,Cortland County,11
36025,Delaware County,12
36027,Dutchess County,13
36029,Erie County,14
36031,Essex County,15
36033,Franklin County,16
36035,Fulton County,17
36037,Genesee County,18
36039,Greene County,19
36041,Hamilton County,20
36043,Herkimer County,21
36045,Jefferson County,22
36047,Kings County,23
36049,Lewis County,24
36051,Livingston County,25
36053,Madison County,26
36055,Monroe County,27
36057,Montgomery County,28
36059,Nassau County,29
36061,New York County,30
36063,Niagara County,31
36065,Oneida County,32
36067,Onondaga County,33
36069,Ontario County,34
36071,Orange County,35
36073,Orleans County,36
36075,Oswego County,37
36077,Otsego County,38
36079,Putnam County,39
36081,Queens County,40
36083,Rensselaer County,41
36085,Richmond County,42
36087,Rockland County,43
36089,St. Lawrence County,44
36091,Saratoga County,45
36093,Schenectady County,46
36095,Schoharie County,47
36097,Schuyler County,48
36099,Seneca County,49
36101,Steuben County,50
36103,Suffolk County,51
36105,Sullivan County,52
36107,Tioga County,53
36109,Tompkins County,54
36111,Ulster County,55
36113,Warren County,56
36115,Washington County,57
36117,Wayne County,58
36119,Westchester County,59
36121,Wyoming County,60
36123,Yates County,61
